rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0.05,1048,3188,-331.64,2279488,714,2152.26,0.030227964743971825,0.0001,557371
0.05,1052,3205,-331.50989999999996,2288268,713,2154.72,0.02078571915626526,0.0001,559566
0.05,1056,3223,-330.56980000000004,2296843,712,2153.9,0.051457904279232025,0.0001,561710
0.05,1060,3239,-330.89290000000005,2305539,711,2154.46,0.04353920370340347,0.0001,563884
0.05,1064,3257,-331.0292,2314224,710,2154.99,0.04455122724175453,0.0001,566055
0.05,1068,3274,-330.2295,2322750,709,2153.86,0.041015129536390305,0.0001,568187
0.05,1072,3290,-331.0358,2331205,708,2153.09,0.030103018507361412,0.0001,570301
0.05,1076,3308,-330.4893,2339716,707,2151.12,0.029101839289069176,0.0001,572428
0.05,1080,3325,-330.8014999999999,2348313,706,2152.06,0.4373387098312378,0.0001,574578
0.05,1084,3343,-330.73949999999996,2356948,704,2151.87,0.04550458863377571,0.0001,576736
0.05,1088,3360,-330.2962,2365598,704,2151.9,0.06474877893924713,0.0001,578899
0.05,1092,3376,-329.5919,2374003,703,2150.65,0.0514381006360054,0.0001,581000
0.05,1096,3394,-329.56479999999993,2382624,701,2151.29,0.046161849051713943,0.0001,583155
0.05,1100,3409,-328.7973,2391025,701,2148.44,0.049903202801942825,0.0001,585256
0.05,1104,3427,-327.8526,2399456,700,2146.38,0.04774147644639015,0.0001,587363
0.05,1108,3443,-328.151,2407989,699,2146.75,0.04723725840449333,0.0001,589497
0.05,1112,3460,-327.7838,2416587,698,2146.84,0.034570083022117615,0.0001,591646
0.05,1116,3478,-326.9886,2425304,697,2145.81,0.04380150884389877,0.0001,593825
0.05,1120,3494,-327.3394,2433907,696,2145.41,0.030401188880205154,0.0001,595976
0.05,1124,3512,-327.2407,2442442,695,2146.77,0.034866418689489365,0.0001,598110
0.05,1128,3528,-326.27189999999996,2450964,694,2146.05,0.05252493545413017,0.0001,600240
0.05,1132,3545,-326.2312,2459633,693,2146.96,0.05410170555114746,0.0001,602408
0.05,1136,3563,-325.9765,2468473,692,2147.46,0.03114219754934311,0.0001,604618
0.05,1140,3580,-327.2334,2477100,691,2148.04,0.04681449383497238,0.0001,606774
0.05,1144,3598,-327.343,2485815,690,2150.21,0.05834811180830002,0.0001,608953
0.05,1148,3615,-327.3111,2494524,690,2150.36,0.016440603882074356,0.0001,611130
0.05,1152,3632,-327.0517,2503201,689,2149.33,0.02424020878970623,0.0001,613300
0.05,1156,3649,-327.427,2511853,688,2150.1,0.04291051626205444,0.0001,615463
0.05,1160,3666,-326.8126,2520456,687,2149.17,0.022825375199317932,0.0001,617613
0.05,1164,3683,-325.66380000000004,2528909,686,2146.85,0.03481224924325943,0.0001,619727
0.05,1168,3700,-326.5428,2537614,685,2148.64,0.019935542717576027,0.0001,621903
0.05,1172,3717,-326.419,2546303,684,2150.98,0.03964307904243469,0.0001,624075
0.05,1176,3735,-326.73,2554999,684,2152.83,0.025793809443712234,0.0001,626249
0.05,1180,3751,-326.7535,2563630,683,2153.17,0.03616969287395477,0.0001,628407
0.05,1184,3769,-326.0207,2572124,682,2151.76,0.0309554785490036,0.0001,630530
0.05,1188,3786,-326.5976,2580934,681,2153.36,0.07290396094322205,0.0001,632733
0.05,1192,3803,-326.74719999999996,2589510,680,2155.07,0.03148266673088074,0.0001,634877
